Link Tracking -URL Clicked,Sessions,Clicks,Package_Id,Package_Name
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/80ce0bd7-adb2-4568-b9d7-712f6ba38e4e/resource/16612cb6-08e4-4043-9ff1-2c428b2ddf67/download/outbreaks in toronto healthcare institutions-2022.xls,213,243,80ce0bd7-adb2-4568-b9d7-712f6ba38e4e,outbreaks-in-toronto-healthcare-institutions
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6e19a90f-971c-46b3-852c-0c48c436d1fc/resource/f07fe8f0-fa24-4d68-8cb4-326e280b0b05/download/neighbourhood-profiles-2016-140-model.csv,104,113,6e19a90f-971c-46b3-852c-0c48c436d1fc,neighbourhood-profiles
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/537923d1-a6c8-4b9c-9d55-fa47d9d7ddab/resource/a388bc08-622c-4647-bad8-ecdb7e62090a/download/automated speed enforcement - monthly charges.xlsx,75,85,537923d1-a6c8-4b9c-9d55-fa47d9d7ddab,automated-speed-enforcement-ase-charges
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/2ab20f80-3599-486a-8f8a-9cb59117977c/resource/9c235257-b09f-441e-bcad-1495607f9a82/download/short-term-rental-registrations-data.csv,68,68,2ab20f80-3599-486a-8f8a-9cb59117977c,short-term-rentals-registration
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/108c2bd1-6945-46f6-af92-02f5658ee7f7/resource/3238a3ef-bcdd-49f9-8d14-c3cc4ce80b36/download/active permits (csv).zip,57,60,108c2bd1-6945-46f6-af92-02f5658ee7f7,building-permits-active-permits
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/21c83b32-d5a8-4106-a54f-010dbe49f6f2/resource/ffd20867-6e3c-4074-8427-d63810edf231/download/daily shelter overnight occupancy.csv,54,60,21c83b32-d5a8-4106-a54f-010dbe49f6f2,daily-shelter-overnight-service-occupancy-capacity
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/1acaa8b0-f235-4df6-8305-02025ccdeb07/resource/d9a29cdd-6434-4b12-96f7-0d3071873d05/download/property boundaries (wgs84) - shapefile.zip,54,58,1acaa8b0-f235-4df6-8305-02025ccdeb07,property-boundaries
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/96d35404-44d9-49d8-95bb-fb1e5489240d/resource/3ad371de-7c51-45d3-9ea4-0b4efac5fc2b/download/2022-results.zip,49,56,96d35404-44d9-49d8-95bb-fb1e5489240d,election-results-official
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/7795b45e-e65a-4465-81fc-c36b9dfff169/resource/cfb6b2b8-6191-41e3-bda1-b175c51148cb/download/ttc routes and schedules data.zip,47,52,7795b45e-e65a-4465-81fc-c36b9dfff169,ttc-routes-and-schedules
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/64b54586-6180-4485-83eb-81e8fae3b8fe/resource/fff4ee65-3527-43be-9a8a-cb9401377dbc/download/covid19 cases.csv,47,51,64b54586-6180-4485-83eb-81e8fae3b8fe,covid-19-cases-in-toronto
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/neighbourhoods/resource/34b409a6-68ef-45f7-9cc8-c85153c1af62/download/neighbourhoods - 4326.zip,42,44,neighbourhoods,neighbourhoods
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/8219e9e6-c7ad-4a36-a9d5-ddf2d86da3ae/resource/2cf0fa4e-d9ba-4b8e-83a1-67dca0d2d815/download/cleared permits current year (csv).zip,40,44,8219e9e6-c7ad-4a36-a9d5-ddf2d86da3ae,building-permits-cleared-permits-current-year
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/841fb820-46d0-46ac-8dcb-d20f27e57bcc/resource/41bf97f0-da1a-46a9-ac25-5ce0078d6760/download/toronto-boundary-wgs84.zip,40,40,841fb820-46d0-46ac-8dcb-d20f27e57bcc,regional-municipal-boundary
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/387b2e3b-2a76-4199-8b3b-0b7d22e2ec10/resource/c57a333a-dc6c-416e-8dd0-7b7964161720/download/3d massing (wgs84).zip,31,35,387b2e3b-2a76-4199-8b3b-0b7d22e2ec10,3d-massing
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/abedd8bc-e3dd-4d45-8e69-79165a76e4fa/resource/921563fc-aeab-4e1f-82bd-c7bdae6dc26a/download/readme-address-feature-codes.txt,30,39,abedd8bc-e3dd-4d45-8e69-79165a76e4fa,address-points-municipal-toronto-one-address-repository
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6e7fceb8-3049-43bf-a4ed-0c8bacccc41f/resource/e6923e23-7d50-4b89-9ec1-983372839c99/download/cleared permits (2021 csv zip).zip,30,32,6e7fceb8-3049-43bf-a4ed-0c8bacccc41f,building-permits-cleared-permits-prior-years
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/1d079757-377b-4564-82df-eb5638583bfb/resource/bff7bc30-e4c2-4267-bf04-7b23d4b6849d/download/centreline (wgs84) - shapefile.zip,30,34,1d079757-377b-4564-82df-eb5638583bfb,toronto-centreline-tcl
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/2aac8903-23ff-4072-ab72-b76cac44ad89/resource/9f53c253-a47e-497f-8a07-528f7d7aad90/download/parks-wgs84.zip,28,29,2aac8903-23ff-4072-ab72-b76cac44ad89,parks
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/57b2285f-4f80-45fb-ae3e-41a02c3a137f/resource/54bddc5e-92d9-4102-89c1-43e82f8f4d2d/download/business licences data.csv,28,30,57b2285f-4f80-45fb-ae3e-41a02c3a137f,municipal-licensing-and-standards-business-licences-and-permits
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/5e7a8234-f805-43ac-820f-03d7c360b588/resource/35f67d86-cfc8-4483-8d77-50d035b010d9/download/25-ward-model-december-2018-wgs84-latitude-longitude.zip,28,29,5e7a8234-f805-43ac-820f-03d7c360b588,city-wards
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/ea1d6e57-87af-4e23-b722-6c1f5aa18a8d/resource/c3ebef25-177b-4adc-9c47-8763b04a52fb/download/dinesafe xml feed.xml,27,43,ea1d6e57-87af-4e23-b722-6c1f5aa18a8d,dinesafe
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/abedd8bc-e3dd-4d45-8e69-79165a76e4fa/resource/bdb0a332-aa84-42de-ac49-214cc68bb5ee/download/municipal address points (wgs84) - geojson.zip,27,29,abedd8bc-e3dd-4d45-8e69-79165a76e4fa,address-points-municipal-toronto-one-address-repository
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/e271cdae-8788-4980-96ce-6a5c95bc6618/resource/3b3c2673-5231-4aac-8b6a-dc558dce588c/download/ttc-bus-delay-data-2022.xlsx,26,30,e271cdae-8788-4980-96ce-6a5c95bc6618,ttc-bus-delay-data
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/204a7e54-8963-4e35-992e-5f21544ef595/resource/bb81bb0f-f88a-4f3e-bca7-a328154ba31b/download/ravine-natural-feature-protection-area-wgs84.zip,26,32,204a7e54-8963-4e35-992e-5f21544ef595,ravine-natural-feature-protection-area
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/4ef82789-e038-44ef-a478-a8f3590c3eb1/resource/979fb513-5186-41e9-bb23-7b5cc6b89915/download/apartment building evaluation.csv,25,25,4ef82789-e038-44ef-a478-a8f3590c3eb1,apartment-building-evaluation
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/6ae000e1-9899-4f6e-8e7d-96dca267db80/resource/8dd4a83e-3284-4b16-9295-c256dcf62954/download/red light camera annual charges.xlsx,25,25,6ae000e1-9899-4f6e-8e7d-96dca267db80,red-light-camera-annual-charges
ckan0.cf.opendata.inter.prod-toronto.ca/dataset/996cfe8d-fb35-40ce-b569-698d51fc683b/resource/441143ca-8194-44ce-a954-19f8141817c7/download/ttc-subway-delay-data-2022.xlsx,25,26,996cfe8d-fb35-40ce-b569-698d51fc683b,ttc-subway-delay-data
