package,usability,usability_code,metadata,metadata_code,freshness,freshness_code,completeness,completeness_code,accessibility,accessibility_code,store_type,division,score,score_norm,grade,grade_norm,recorded_at
earlyon-child-and-family-centres,0.93,"~constant_cols:service_system_manager,french_language_program,indigenous_program,virtualHours,centre_type",0.99,~missing_def_cols:centre_type,0.99,~periods_behind:1,1.0,,1.0,,datastore,Children's Services,0.99,0.97,Gold,Gold,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.9,~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
address-points-municipal-toronto-one-address-repository,0.0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1.0,,0.0,Not Applicable,0.9,~filestore_resource,filestore,Information & Technology,0.65,0.26,Bronze,Bronze,2023-05-29T17:53:36Z
catalogue-quality-scores,0.96,~constant_cols:version,0.88,~owner_is_opendata,1.0,,1.0,,0.5,~no_pipeline_found~no_tags,datastore,Information & Technology,0.79,0.55,Bronze,Bronze,2023-05-29T17:53:36Z
catalogue-quality-scores,1.0,,0.38,~owner_is_opendata~all_data_def_missing,1.0,,1.0,,0.75,~no_tags,datastore,Information & Technology,0.79,0.55,Bronze,Bronze,2023-05-29T17:53:36Z
catalogue-quality-scores,1.0,,0.38,~owner_is_opendata~all_data_def_missing,1.0,,1.0,,0.75,~no_tags,datastore,Information & Technology,0.79,0.55,Bronze,Bronze,2023-05-29T17:53:36Z
non-regulated-lead-sample,1.0,,0.88,~owner_is_opendata,0.5,~periods_behind:11,1.0,,1.0,,datastore,Toronto Water,0.78,0.53,Bronze,Bronze,2023-05-29T17:53:36Z
toronto-fire-services-run-areas,0.72,"~constant_cols:DATE_EFFECTIVE,DATE_EXPIRY,AREA_TYPE_ID,PARENT_AREA_ID,AREA_TYPE,AREA_CLASS_ID,AREA_CLASS,FEATURE_CODE,FEATURE_CODE_DESC,TRANS_ID_CREATE,TRANS_ID_EXPIRE",0.52,~all_data_def_missing,0.96,,1.0,,1.0,,datastore,Fire Services,0.8,0.58,Bronze,Bronze,2023-05-29T17:53:36Z
members-of-toronto-city-council-voting-record,0.95,~constant_cols:Term,0.5,~all_data_def_missing,1.0,,1.0,,0.75,~no_tags,datastore,City Clerk's Office,0.78,0.53,Bronze,Bronze,2023-05-29T17:53:36Z
members-of-toronto-city-council-voting-record,0.5,"~constant_cols:Term,FirstName,LastName,Committee,DateTime,AgendaItemNum,AgendaItemTitle,MotionType,Vote,Result,VoteDescription",0.5,~all_data_def_missing,1.0,,1.0,,0.75,~no_tags,datastore,City Clerk's Office,0.78,0.53,Bronze,Bronze,2023-05-29T17:53:36Z
members-of-toronto-city-council-voting-record,0.95,~constant_cols:Term,0.5,~all_data_def_missing,1.0,,1.0,,0.75,~no_tags,datastore,City Clerk's Office,0.78,0.53,Bronze,Bronze,2023-05-29T17:53:36Z
members-of-toronto-city-council-voting-record,0.95,~constant_cols:Term,0.5,~all_data_def_missing,1.0,,1.0,,0.75,~no_tags,datastore,City Clerk's Office,0.78,0.53,Bronze,Bronze,2023-05-29T17:53:36Z
ambulance-station-locations,0.88,"~constant_cols:CITY,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,EMS_NOTES,EMS_ADDITIONAL_ADDRESS_INFO",0.76,"~metadata_missing:information_url~missing_def_cols:LO_NUM_SUF,HI_NUM,HI_NUM_SUF,EMS_EXTRA1,EMS_EXTRA2,EMS_ADDITIONAL_ADDRESS_INFO",1.0,,1.0,,1.0,,datastore,Toronto Paramedic Services,0.91,0.8,Gold,Gold,2023-05-29T17:53:36Z
zoning-by-law,0.75,"~constant_cols:CHAPT_200,EXCPTN_LK",0.88,~owner_is_opendata,0.89,,1.0,,1.0,,datastore,City Planning,0.91,0.81,Gold,Gold,2023-05-29T17:53:36Z
zoning-by-law,1.0,,0.88,~owner_is_opendata,0.89,,1.0,,1.0,,datastore,City Planning,0.91,0.81,Gold,Gold,2023-05-29T17:53:36Z
zoning-by-law,0.8,"~constant_cols:RMH_AREA,CHAP150_25",0.88,~owner_is_opendata,0.89,,1.0,,1.0,,datastore,City Planning,0.91,0.81,Gold,Gold,2023-05-29T17:53:36Z
zoning-by-law,1.0,,0.88,~owner_is_opendata,0.89,,1.0,,1.0,,datastore,City Planning,0.91,0.81,Gold,Gold,2023-05-29T17:53:36Z
zoning-by-law,1.0,,0.88,~owner_is_opendata,0.89,,1.0,,1.0,,datastore,City Planning,0.91,0.81,Gold,Gold,2023-05-29T17:53:36Z
zoning-by-law,0.98,~constant_cols:COVERAGE,0.88,~owner_is_opendata,0.89,,1.0,,1.0,,datastore,City Planning,0.91,0.81,Gold,Gold,2023-05-29T17:53:36Z
