package,resource,usability,usability_code,metadata,metadata_code,freshness,freshness_code,completeness,completeness_code,accessibility,accessibility_code,store_type,division
earlyon-child-and-family-centres,EarlyON Child and Family Centres Locations - geometry,0.926470588,"~constant_cols:service_system_manager,french_language_program,indigenous_program,virtualHours,centre_type",0.985294118,~missing_def_cols:centre_type,0.989795918,~periods_behind:1,1,,1,,datastore,Children's Services
address-points-municipal-toronto-one-address-repository,Municipal address points,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 4326.gpkg,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 2952.gpkg,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 4326.geojson,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 2952.geojson,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 4326.zip,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 2952.zip,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 4326.csv,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points - 2952.csv,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.75,~no_pipeline_found~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points (wgs84) - geojson,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.9,~filestore_resource,filestore,Information & Technology
address-points-municipal-toronto-one-address-repository,Municipal address points (wgs84) - shapefile,0,Not Applicable,0.25,"~metadata_missing:topics,owner_email,information_url",1,,0,Not Applicable,0.9,~filestore_resource,filestore,Information & Technology
catalogue-quality-scores,catalogue-scorecard,0.958333333,~constant_cols:version,0.875,~owner_is_opendata,1,,1,,0.5,~no_pipeline_found~no_tags,datastore,Information & Technology
catalogue-quality-scores,quality-scores-explanation-codes,1,,0.375,~owner_is_opendata~all_data_def_missing,1,,1,,0.75,~no_tags,datastore,Information & Technology
catalogue-quality-scores,quality-scores-explanation-codes-and-scores,1,,0.375,~owner_is_opendata~all_data_def_missing,1,,1,,0.75,~no_tags,datastore,Information & Technology
non-regulated-lead-sample,Non Regulated Lead Samples,1,,0.875,~owner_is_opendata,0.5,~periods_behind:11,1,,1,,datastore,Toronto Water
